Model,Displ,Cyl,Trans,Drive,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
NISSAN NV200,2,4,CVT,2WD,CA,U2,California LEV-II ULEV,KNSXT02.0N2A,special purpose,3,24,26,25,5,No,356
NISSAN NV200,2,4,CVT,2WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXV02.0N2A,special purpose,3,23,26,24,5,No,366
NISSAN NV200,2,4,CVT,2WD,CA,U2,California LEV-II ULEV,KNSXV02.0N2A,special purpose,3,23,26,24,5,No,366
NISSAN Pathfinder,3.5,6,CVT,2WD,CA,L3ULEV70,California LEV-III ULEV70,KNSXT03.5P7A,small SUV,5,20,27,23,5,No,395
NISSAN Pathfinder,3.5,6,CVT,2WD,FA,T3B70,Federal Tier 3 Bin 70,KNSXT03.5P7A,small SUV,5,20,27,23,5,No,395
NISSAN Pathfinder,3.5,6,CVT,4WD,CA,L3ULEV70,California LEV-III ULEV70,KNSXT03.5P7A,small SUV,5,19,26,22,4,No,404
NISSAN Pathfinder,3.5,6,CVT,4WD,FA,T3B70,Federal Tier 3 Bin 70,KNSXT03.5P7A,small SUV,5,19,26,22,4,No,404
NISSAN Pathfinder 4WD Platinum,3.5,6,CVT,4WD,CA,L3ULEV125,California LEV-III ULEV125,KNSXT03.5N7B,small SUV,3,19,26,21,4,No,424
NISSAN Pathfinder 4WD Platinum,3.5,6,CVT,4WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXT03.5N7B,small SUV,3,19,26,21,4,No,424
NISSAN Rogue,2.5,4,CVT,2WD,CA,L3SULEV30,California LEV-III SULEV30,KNSXT02.5R5A,small SUV,7,26,33,29,6,No,312
NISSAN Rogue,2.5,4,CVT,2WD,FA,T3B30,Federal Tier 3 Bin 30,KNSXT02.5R5A,small SUV,7,26,33,29,6,No,312
NISSAN Rogue,2.5,4,CVT,4WD,CA,L3SULEV30,California LEV-III SULEV30,KNSXT02.5R5A,small SUV,7,25,32,27,6,No,324
NISSAN Rogue,2.5,4,CVT,4WD,FA,T3B30,Federal Tier 3 Bin 30,KNSXT02.5R5A,small SUV,7,25,32,27,6,No,324
NISSAN Rogue Hybrid,2,4,SCV-7,2WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXT02.0NGA,small SUV,3,33,35,34,8,Yes,261
